technique,clus,clus_params,num_clusters,homogeneity,completeness,v_measure
Doc2Vec,DBSCAN,eps=0.55;min_samples=20,2.0,0.014612143260937915,0.0783400086054682,0.024630208248463854
Doc2Vec,DBSCAN,eps=0.55;min_samples=25,2.0,0.014772179655696868,0.07575107296637962,0.024723116471364225
Doc2Vec,DBSCAN,eps=0.6000000000000001;min_samples=5,2.0,0.00033856440747555055,0.08376237588595918,0.0006744029035020892
Doc2Vec,DBSCAN,eps=0.6000000000000001;min_samples=10,2.0,0.00040764860608943335,0.08972020369039929,0.0008116096199016205
Doc2Vec,DBSCAN,eps=0.6000000000000001;min_samples=15,2.0,0.00040764860608943335,0.08972020369039929,0.0008116096199016205
Doc2Vec,DBSCAN,eps=0.6000000000000001;min_samples=20,2.0,0.0006192946129915964,0.08929777658083045,0.0012300585696219844
Doc2Vec,DBSCAN,eps=0.6000000000000001;min_samples=25,2.0,0.0007930518711148614,0.09068437709283095,0.0015723532186874252
Doc2Vec,DBSCAN,eps=0.6500000000000001;min_samples=5,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.6500000000000001;min_samples=10,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.6500000000000001;min_samples=15,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.6500000000000001;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.6500000000000001;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.7000000000000001;min_samples=5,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.7000000000000001;min_samples=10,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.7000000000000001;min_samples=15,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
